,0,1,2
0,4095,dry,servo motor off
1,1610,cool,servo motor on
2,1343,cool,servo motor on
3,4095,dry,servo motor off
4,4095,dry,servo motor off
5,4095,dry,servo motor off
6,4095,dry,servo motor off
7,4095,dry,servo motor off
8,4095,dry,servo motor off
9,4095,dry,servo motor off
10,4095,dry,servo motor off
11,912,cool,servo motor on
12,2279,dry,servo motor off
13,4095,dry,servo motor off
14,2262,dry,servo motor off
15,2674,dry,servo motor off
16,2032,dry,servo motor off
17,2258,dry,servo motor off
18,2859,dry,servo motor off
19,3363,dry,servo motor off
20,2077,dry,servo motor off
21,2298,dry,servo motor off
22,3376,dry,servo motor off
23,4083,dry,servo motor off
24,2416,dry,servo motor off
25,1906,cool,servo motor on
26,4095,dry,servo motor off
27,4095,dry,servo motor off
28,4095,dry,servo motor off
29,4095,dry,servo motor off
30,4095,dry,servo motor off
31,4095,dry,servo motor off
32,4095,dry,servo motor off
33,4095,dry,servo motor off
34,4095,dry,servo motor off
35,4095,dry,servo motor off
36,4095,dry,servo motor off
37,4095,dry,servo motor off
38,4095,dry,servo motor off
39,4095,dry,servo motor off
40,4095,dry,servo motor off
41,4095,dry,servo motor off
42,4095,dry,servo motor off
43,4095,dry,servo motor off
44,4095,dry,servo motor off
45,4095,dry,servo motor off
46,4095,dry,servo motor off
47,4095,dry,servo motor off
48,4095,dry,servo motor off
49,4095,dry,servo motor off
50,4095,dry,servo motor off
51,4095,dry,servo motor off
52,606,cool,servo motor on
53,695,cool,servo motor on
54,848,cool,servo motor on
55,966,cool,servo motor on
56,945,cool,servo motor on
57,1008,cool,servo motor on
58,997,cool,servo motor on
59,1023,cool,servo motor on
60,974,cool,servo motor on
61,1008,cool,servo motor on
62,1011,cool,servo motor on
63,950,cool,servo motor on
64,959,cool,servo motor on
65,971,cool,servo motor on
66,1022,cool,servo motor on
67,1065,cool,servo motor on
68,1056,cool,servo motor on
69,1083,cool,servo motor on
70,1001,cool,servo motor on
71,995,cool,servo motor on
72,950,cool,servo motor on
73,934,cool,servo motor on
74,979,cool,servo motor on
75,1010,cool,servo motor on
76,1088,cool,servo motor on
77,1126,cool,servo motor on
78,1136,cool,servo motor on
79,1181,cool,servo motor on
80,946,cool,servo motor on
81,1007,cool,servo motor on
82,1078,cool,servo motor on
83,1118,cool,servo motor on
84,1121,cool,servo motor on
85,1641,cool,servo motor on
86,2861,dry,servo motor off
87,3474,dry,servo motor off
88,3113,dry,servo motor off
89,3778,dry,servo motor off
90,3771,dry,servo motor off
91,3787,dry,servo motor off
92,3795,dry,servo motor off
93,3785,dry,servo motor off
94,3749,dry,servo motor off
95,3734,dry,servo motor off
96,3724,dry,servo motor off
97,3721,dry,servo motor off
98,3708,dry,servo motor off
99,3685,dry,servo motor off
100,3725,dry,servo motor off
101,3764,dry,servo motor off
102,3796,dry,servo motor off
103,3862,dry,servo motor off
104,3920,dry,servo motor off
105,4042,dry,servo motor off
106,4095,dry,servo motor off
107,4095,dry,servo motor off
108,4095,dry,servo motor off
109,4095,dry,servo motor off
110,4059,dry,servo motor off
111,4019,dry,servo motor off
112,4002,dry,servo motor off
113,3963,dry,servo motor off
114,4095,dry,servo motor off
115,4095,dry,servo motor off
116,4095,dry,servo motor off
117,4095,dry,servo motor off
118,4095,dry,servo motor off
119,4095,dry,servo motor off
120,4095,dry,servo motor off
121,4095,dry,servo motor off
122,4095,dry,servo motor off
123,4095,dry,servo motor off
124,4095,dry,servo motor off
125,4095,dry,servo motor off
126,4095,dry,servo motor off
127,4095,dry,servo motor off
128,4095,dry,servo motor off
129,4095,dry,servo motor off
130,4095,dry,servo motor off
131,4095,dry,servo motor off
132,4095,dry,servo motor off
133,4095,dry,servo motor off
134,4095,dry,servo motor off
135,4095,dry,servo motor off
136,4095,dry,servo motor off
137,4095,dry,servo motor off
138,4095,dry,servo motor off
139,4095,dry,servo motor off
140,4095,dry,servo motor off
141,4095,dry,servo motor off
142,4095,dry,servo motor off
143,4095,dry,servo motor off
144,4095,dry,servo motor off
145,4095,dry,servo motor off
146,4095,dry,servo motor off
147,4095,dry,servo motor off
148,4095,dry,servo motor off
149,4095,dry,servo motor off
